,name,scores_avg
247,Age of Pirates: Caribbean Tales,56.0
248,Age of Wonders III,80.0
249,Age of Wonders III - Eternal Lords,80.0
250,Age of Wonders III - Golden Realms,82.0
251,Age of Wonders: Planetfall,81.33333333333333
252,Age of Zombies,79.0
253,Ageless,68.0
254,Agent A: A Puzzle In Disguise,79.0
255,Agents of Mayhem,67.66666666666667
256,Aggressors: Ancient Rome,76.0
257,Agony,39.333333333333336
258,AiRace Speed,68.0
259,AiRace Xeno,66.0
260,Aion,76.0
261,Air Conflicts: Aces of World War II,36.0
262,Air Conflicts: Secret Wars,56.0
263,Air Conflicts: Vietnam,43.0
264,Air Conflicts: Vietnam Ultimate Edition,30.0
265,Air Traffic Chaos,66.0
266,Airborne Kingdom,76.0
267,Airheart: Tales of Broken Wings,63.0
268,Airplane Mode,53.0
269,Airscape: The Fall of Gravity,75.0
270,Akai Katana,75.0
271,Akane,69.0
272,Akaneiro: Demon Hunters,53.0
273,Akiba's Beat,55.0
274,Akiba's Trip: Hellbound & Debriefed,52.0
275,Akiba's Trip: Undead & Undressed,59.333333333333336
276,Akimi Village,69.0
277,Al Emmo and the Lost Dutchman's Mine,77.0
278,Alan Wake,83.0
279,Alan Wake Remastered,79.5
280,Alan Wake's American Nightmare,74.5
281,Alan Wake: The Signal,75.0
282,Alan Wake: The Writer,80.0
283,Alba: a Wildlife Adventure,79.5
284,Albino Lullaby: Episode 1,64.0
285,Albion Online,72.0
286,Alder's Blood,74.0
287,Alekhine's Gun,38.0
288,Alex Kidd in Miracle World DX,64.0
289,Alex Rider: Stormbreaker,48.0
290,Alfred Hitchcock: Vertigo,68.0
291,Alice: Madness Returns,71.66666666666667
292,Alien Breed,66.0
293,Alien Breed (PS Mobile),68.0
294,Alien Breed 2: Assault,67.0
295,Alien Breed 3: Descent,65.33333333333333
296,Alien Breed: Evolution,69.0
297,Alien Breed: Impact,67.5
298,Alien Havoc,53.0
299,Alien Hominid HD,79.0
300,Alien Rage,49.0
301,Alien Shooter: Vengeance,67.0
302,Alien Spidy,55.0
303,Alien Swarm,77.0
304,Alien Syndrome,49.5
305,Alien: Isolation,80.25
306,Alienation,79.0
307,Aliens in the Attic,58.0
308,Aliens vs. Predator,65.66666666666667
309,Aliens vs. Predator: Requiem,49.0
310,Aliens: Colonial Marines,45.333333333333336
311,Aliens: Fireteam Elite,68.66666666666667
312,Aliens: Infestation,76.0
313,All Walls Must Fall,72.0
314,All Zombies Must Die!,63.5
315,All-Pro Football 2K8,74.0
316,All-Star Fruit Racing,61.5
317,Alone With You,72.0
318,Alone With You (2017),74.0
319,Alone in the Dark,49.75
320,Alone in the Dark: Illumination,19.0
321,Alone in the Dark: Inferno,69.0
322,Alpha Polaris: A Horror Adventure Game,52.0
323,Alpha Prime,59.0
324,Alpha Protocol,66.33333333333333
325,AlphaBounce,78.0
326,Alter Ego (2010),59.0
327,Alternativa,63.0
328,Alwa's Awakening,71.0
329,Alwa's Legacy,80.0
330,Always Sometimes Monsters,73.0
331,Amazing Discoveries In Outer Space,71.0
332,America's Army: Rise of a Soldier,70.0
333,America's Army: True Soldiers,43.0
334,American Conquest: Divided Nation,53.0
335,American Fugitive,66.66666666666667
336,American McGee Presents Bad Day LA,28.0
337,American Truck Simulator,76.0
338,Amnesia Collection,77.0
339,Amnesia: A Machine for Pigs,72.0
340,Amnesia: Memories,72.0
341,Amnesia: Rebirth,77.5
342,Amnesia: The Dark Descent,85.0
343,Among Us,82.0
344,Among the Sleep,66.0
345,Amped 3,72.0
346,Amplitude,74.0
347,An Airport for Aliens Currently Run by Dogs,64.0
348,AnaCapri: The Dream,39.0
349,Anamorphine,55.0
350,Anarchy Reigns,72.0
351,Anarcute,76.5
352,Ancestors Legacy,75.5
353,Ancestors: The Humankind Odyssey,68.66666666666667
354,Ancient Amuletor,60.0
355,Ancient Space,68.0
356,Ancient Wars: Sparta,59.0
357,Ancients of Ooga,69.0
358,And 1 Streetball,48.5
359,And Yet It Moves,79.0
360,Angry Birds,77.0
361,Angry Birds Trilogy,63.666666666666664
362,Angry Birds VR: Isle of Pigs,79.0
363,Angry Video Game Nerd Adventures,77.0
364,Angry Video Game Nerd I & II Deluxe,75.0
365,Anima: Gate of Memories,62.0
366,Animal Crossing: City Folk,73.0
367,Animal Crossing: Happy Home Designer,66.0
368,Animal Crossing: New Horizons,90.0
369,Animal Crossing: New Horizons - Happy Home Paradise,82.0
370,Animal Crossing: New Leaf,88.0
371,Animal Crossing: Wild World,86.0
372,Animal Crossing: amiibo Festival,46.0
373,Animal Force,57.0
374,Animal Gods,50.0
375,Animal Paradise,49.0
376,Animaniacs: The Great Edgar Hunt,65.0
377,Anna,55.0
378,Anna's Quest,74.0
379,Anno 1701: Dawn of Discovery,78.0
380,Anno 1800,81.0
381,Anno 2070,83.0
382,Anno 2205,72.0
383,Anodyne,75.0
384,Anomaly 2,75.5
385,Anomaly Defenders,70.0
386,Anomaly: Warzone Earth,79.0
387,Another Sight (2018),67.0
388,Another World,75.0
